NA_L2CODE,COLOR,NOUMENON,ALPHA,XC,RECORDIST,SRC
0,#d3eaf5,,,,,
1.1,#6892cc,Ivory Gull,ivogul,XC284132,Claire Mazard,https://xeno-canto.org/sounds/uploaded/XXZNEURFZG/XC284132-cris%20mouette%20ivoire.mp3
2.1,#afbad7,Snowy Owl,snoowl1,XC343145,Tero Linjama,https://xeno-canto.org/sounds/uploaded/YSDNMROVID/XC343145-486_bubsca_naarassoidin2_Suomi_%C3%84ht%C3%A4ri_2012-02-27.mp3
2.2,#c9d7ed,Bluethroat,blueth,XC185558,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC185558-Bluethroat2014-6-22-3.mp3
2.3,#069edb,Gyrfalcon,gyrfal,XC181614,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC181614-Gyrfalcon2014-6-6-1.mp3
2.4,#48a6dc,Harris's Sparrow,harspa,XC210755,Ian Cruickshank,https://xeno-canto.org/sounds/uploaded/XEIROMUDEB/XC210755-Audio%20for%20IMG_0760%20hasp.MP3
3.1,#54c5f1,Swainson's Thrush,swathr,XC628195,Sue Riffe,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC268195-DOVE_Inca_s_reg_excited%20SBNWR%201100m%20060715%201153.mp3
3.2,#00baf1,Rock Ptarmigan,rocpta1,XC432601,Logan McLeod,https://xeno-canto.org/sounds/uploaded/JRPEHMSIPP/XC432601-S4A03441_20170602_074500_ROPT.mp3
3.3,#92c5ea,Smith's Longspur,smilon,XC356212,Frank Lambert,https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC356212-Calcarius_pictus-FL%20male%20song%20Denali%20Highway%20MP17-71%20AK%208.39am%209Jun15%20%20LS116998a.mp3
3.4,#5fcdf5,Yellow Rail,yelrai,XC577160,Tom Forwood Jr.,https://xeno-canto.org/sounds/uploaded/SKESHBJXCF/XC577160-YERA%20GallCo%207-18-20.mp3
4.1,#46b4ba,Canada Jay,gryjay,XC603584,Bruce Lagerquist,https://xeno-canto.org/sounds/uploaded/JHFICMRVUX/XC603584-102920%201220%20Canada%20Jay.mp3
5.1,#2db77b,Hermit Thrush,herthr,XC612892,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC612892-THRUSH_Hermit%20No%202%20Clark%20Pk%2C%20Pinaleno%202700m%20061020%201852.mp3
5.2,#aedee4,Common Loon,comloo,XC601772,Peter Ward and Ken Hall,https://xeno-canto.org/sounds/uploaded/SFRRHMLGSK/XC601772-Common%20Loon%202.mp3
5.3,#55c3ce,Blackburnian Warbler,bkbwar,XC600509,Christopher McPherson,https://xeno-canto.org/sounds/uploaded/HNIFQCMOLA/XC600509-Blackburnian%20Warbler_16Jul2020_Miller%20State%20Park%20Peterborough%20NH.mp3
5.4,#bed7c0,Sharp-tailed Grouse,shtgro,XC500160,Jacob Saucier,https://xeno-canto.org/sounds/uploaded/XSAURLRZQM/XC500160-MT2015%20JRS%2010_a_xc.mp3
6.1,#d3e6b8,Willow Ptarmigan,wilpta,XC431187,Logan McLeod,https://xeno-canto.org/sounds/uploaded/JRPEHMSIPP/XC431187-WIPT.mp3
6.2,#5ebc55,Western Tanager,westan,XC611975,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC611975-TANAGER_Western_s_at%20dawn%20Twilight%20Pinaleno%202300m%20061220%200511.mp3
7.1,#42c0bd,Varied Thrush,varthr,XC604686,Bruce Lagerquist,https://xeno-canto.org/sounds/uploaded/JHFICMRVUX/XC604686-180327_02%20Varied%20Thrush.mp3
8.1,#a4cb4b,Red-eyed Vireo,reevir1,XC624420,Sue Riffe,https://xeno-canto.org/sounds/uploaded/PVQOLRXXWL/XC624420-Red-eyed%20Vireo%20on%206.9.17%20at%20Foothills%20Land%20Cons%20ME%20at%206.55%20for%20.35.mp3
8.2,#e3f2e7,Dickcissel,dickci,XC611831,Whitney Neufeld-Kaiser,https://xeno-canto.org/sounds/uploaded/CQLSWYNMJK/XC611831-DICK%20Eagle%20Bluffs%20SP%20MO%20Jul%202020%20-%20Edited.mp3
8.3,#cfe4ae,Prairie Warbler,prawar,XC602059,Christopher McPherson,https://xeno-canto.org/sounds/uploaded/HNIFQCMOLA/XC602059-Prairie%20Warbler_20May2020_Nashua%20NH.mp3
8.4,#51bd83,Cerulean Warbler,cerwar,XC600735,Christopher McPherson,https://xeno-canto.org/sounds/uploaded/HNIFQCMOLA/XC600735-Cerulean%20Warbler%20%2803%29_02Jun2020_Skinner%20SP.mp3
8.5,#b9d87e,Black-bellied Whistling Duck,bbwduc,XC622465,Mauricio Cuéllar Ramírez,https://xeno-canto.org/sounds/uploaded/JAPOPUHKWS/XC622465-Dendrodcygna%20autumnalis%20long%20-%20Pisci%20Ny.mp3
9.2,#fee5ca,Upland Sandpiper,uplsan,XC549229,Logan McLeod,https://xeno-canto.org/sounds/uploaded/JRPEHMSIPP/XC549229-OCB_409914_D9_20190519_063000_UPSA.mp3
9.3,#fadca1,Chestnut-collared Longspur,chclon,XC373364,Matt Wistrand,https://xeno-canto.org/sounds/uploaded/QZOXFIKPFF/XC373364-CCLO%20-%20flight%20call%2C%20song%20-%20BLM%20Grasslands%20-%202017-05-30%2008_02_01.mp3
9.4,#f8ce9e,Scissor-tailed Flycatcher,sctfly,XC323788,Terry Davis,https://xeno-canto.org/sounds/uploaded/VREQOVRYQI/XC323788-08stfl06011513.mp3
9.5,#f3c841,Great-tailed Grackle,grtgra,XC623952,Manuel Grosselet,https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC623952-Great-tailed%20Grackle%20song%20Union%20Hidalgo%20feb%2018%20832_1786.mp3
9.6,#fcb94b,Chihuahuan Raven,chirav,XC610682,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC610682-RAVEN_Chihuah_c_flight%20SSC%201100m%20041420%200824.mp3
10.1,#ebed90,Canyon Wren,canwre,XC638840,Pritam Baruah,https://xeno-canto.org/sounds/uploaded/HALXQIMTRP/XC638840-canyon-wren-montrose-colorado-pritam-baruah-2021.mp3
10.2,#fadd69,Pyrrhuloxia,pyrrhu,XC610507,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC610507-PYRRHULOXIA%20%20Whitewater%20Draw%201200m%20050920%201849.mp3
11.1,#d3e6b8,Wrentit,wrenti,XC634664,Paul Marvin,https://xeno-canto.org/sounds/uploaded/RFTXRYBVBX/XC634664-Wrentit%20-CA%2C%20B%26B%20Garden%2C%20Mar%2031%2C%202021%2C%200715%20AM.mp3
12.1,#ddd595,Sulphur-bellied Flycatcher,subfly,XC636091,Mauricio Cuéllar Ramírez,https://xeno-canto.org/sounds/uploaded/JAPOPUHKWS/XC636091-Myiodynastes%20luteiventris%20-%20%20Finca%20las%20Delicias%20Vd%20Leona%20-%20Valparaiso.mp3
12.2,#e6c07e,,,,,
13.1,#b9d87e,Red-faced Warbler,refwar,XC616634,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC616634-WARBLER_Red-fac%20No%201%20Rucker%20Cyn%201900m%20060320%200726.mp3
13.2,#a8ca60,Aztec Thrush,aztthr,XC344524,Manuel Grosselet,https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC344524-Aztec%20Thrush%20Llano%20grande%20oax.mp3
13.3,#bedb8c,Maroon-fronted Parrot,mafpar1,XC330224,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC330224-Maroon-fronted%20Parrot2016-6-8-12.mp3
13.4,#6da662,,,,,
13.5,#95c28b,,,,,
13.6,#72c2bb,Pink-headed Warbler,pihwar1,XC265590,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC265590-Pink-headed%20Warbler2015-4-2-2.mp3
14.1,#e98d94,,,,,
14.2,#eda7b7,,,,,
14.3,#f08365,,,,,
14.4,#f6a1a7,,,,,
14.5,#d96576,,,,,
14.6,#eca68e,,,,,
15.1,#a96fae,,,,,
15.2,#d8a7cb,,,,,
15.3,#9784ba,,,,,
15.4,#c774af,American White Ibis,whiibi,XC571048,Manuel Grosselet,https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC571048-White-Ibis%20flight%20topo%20june%2023%20700.mp3
15.5,#c656a0,,,,,
15.6,#cbbbda,,,,,
